"genotype_name","genotype_id","treatment","location","rep","Pod_branches_5C","Flower_branches_5C","Non.fertile_nodes_5C","Total_nodes_5C","Proportion_pod_nodes_5C","Proportion_floral_nodes_5C","Pod_nodes_versus_DAV_5C","Pod_branches_10C","Flower_branches_10C","Non.fertile_nodes_10C","Total_nodes_10C","Proportion_pod_nodes_10C","Proportion_floral_nodes_10C","Pod_nodes_versus_DAV_10C","Pod_branches_tenminusfive","Flower_branches_tenminusfive","Non.fertile_nodes_tenminusfive","Total_nodes_tenminusfive","Proportion_pod_nodes_tenminusfive","Proportion_floral_nodes_tenminusfive","Pod_nodes_versus_DAV_tenminusfive"
"LEMBKES_MALCHOWER_LENORA","a-0000108","branching",1,2,4,1,6,11,0.363636364,0.090909091,"0.003827751",1,1,8,10,0.1,0.1,0.000917431,-3,0,2,-1,-0.263636364,0.009090909,"-0.00291032"
"LEMBKES_MALCHOWER_LENORA","a-0000108","branching",2,3,3,0,2,5,0.6,0,"0.006666667",2,0,7,9,0.222222222,0,0.002002002,-1,0,5,4,-0.377777778,0,"-0.004664665"
"NORIN","a-0000109","branching",1,1,6,0,5,11,0.545454545,0,"0.005741627",1,0,9,10,0.1,0,0.001030928,-5,0,4,-1,-0.445454545,0,"-0.004710699"
"NORIN","a-0000109","branching",1,2,6,1,14,21,0.285714286,0.047619048,"0.003174603",2,2,14,18,0.111111111,0.111111111,0.001169591,-4,1,0,-3,-0.174603175,0.063492063,"-0.002005013"
"NORIN","a-0000109","branching",2,3,5,0,5,10,0.5,0,"0.005555556",2,0,4,6,0.333333333,0,0.003508772,-3,0,-1,-4,-0.166666667,0,"-0.002046784"
"Samourai","a-0000113","branching",1,1,NA,NA,NA,NA,NA,NA,"",6,3,0,9,0.666666667,0.333333333,0.007843137,NA,NA,NA,NA,NA,NA,""
"Samourai","a-0000113","branching",1,2,6,0,2,8,0.75,0,"0.009259259",7,3,6,16,0.4375,0.1875,0.005271084,1,3,4,8,-0.3125,0.1875,"-0.003988175"
"Samourai","a-0000113","branching",2,3,4,0,0,4,1,0,"0.012048193",5,2,1,8,0.625,0.25,0.007102273,1,2,1,4,-0.375,0.25,"-0.00494592"
"Baltia","a-0000133","branching",1,1,5,1,6,12,0.416666667,0.083333333,"0.00502008",5,0,5,10,0.5,0,0.005555556,0,-1,-1,-2,0.083333333,-0.083333333,"0.000535475"
"Baltia","a-0000133","branching",1,2,6,2,0,8,0.75,0.25,"0.008522727",7,3,6,16,0.4375,0.1875,0.004861111,1,1,6,8,-0.3125,-0.0625,"-0.003661616"
